-0.016778,0.005551,0.031383,
-0.016735,0.005562,0.031383,
-0.016608,0.005594,0.031383,
-0.016397,0.005648,0.031383,
-0.016104,0.005724,0.031383,
-0.015731,0.005823,0.031383,
-0.015281,0.005945,0.031383,
-0.014755,0.006088,0.031383,
-0.014155,0.006250,0.031383,
-0.013484,0.006429,0.031383,
-0.012742,0.006620,0.031383,
-0.011925,0.006817,0.031383,
-0.011018,0.006995,0.031383,
-0.010079,0.007158,0.031383,
-0.009107,0.007297,0.031383,
-0.008106,0.007404,0.031383,
-0.007085,0.007472,0.031383,
-0.006053,0.007496,0.031383,
-0.005018,0.007465,0.031383,
-0.003993,0.007368,0.031383,
-0.002989,0.007194,0.031383,
-0.002016,0.006934,0.031383,
-0.001073,0.006619,0.031383,
-0.000171,0.006237,0.031383,
0.000691,0.005809,0.031383,
0.001506,0.005337,0.031383,
0.002270,0.004829,0.031383,
0.002979,0.004293,0.031383,
0.003630,0.003736,0.031383,
0.004218,0.003162,0.031383,
0.004741,0.002578,0.031383,
0.005197,0.001995,0.031383,
0.005581,0.001415,0.031383,
0.005893,0.000847,0.031383,
0.006143,0.000321,0.031383,
0.006325,-0.000167,0.031383,
0.006412,-0.000662,0.031383,
0.006409,-0.001140,0.031383,
0.006228,-0.001714,0.031383,
0.006077,-0.002011,0.031383,
0.005860,-0.002261,0.031383,
0.005475,-0.002706,0.031383,
0.005128,-0.002988,0.031383,
0.004732,-0.003223,0.031383,
0.004295,-0.003395,0.031383,
0.003790,-0.003554,0.031383,
0.003218,-0.003707,0.031383,
0.002593,-0.003830,0.031383,
0.001921,-0.003919,0.031383,
0.001204,-0.003974,0.031383,
0.000448,-0.003992,0.031383,
-0.000341,-0.003971,0.031383,
-0.001158,-0.003909,0.031383,
-0.001997,-0.003805,0.031383,
-0.002853,-0.003654,0.031383,
-0.003718,-0.003455,0.031383,
-0.004588,-0.003208,0.031383,
-0.005451,-0.002898,0.031383,
-0.006308,-0.002538,0.031383,
-0.007142,-0.002103,0.031383,
-0.007956,-0.001605,0.031383,
-0.008746,-0.001059,0.031383,
-0.009513,-0.000481,0.031383,
-0.010256,0.000114,0.031383,
-0.010972,0.000715,0.031383,
-0.011658,0.001312,0.031383,
-0.012309,0.001891,0.031383,
-0.012916,0.002431,0.031383,
-0.013526,0.002939,0.031383,
-0.014109,0.003405,0.031383,
-0.014649,0.003830,0.031383,
-0.015137,0.004211,0.031383,
-0.015569,0.004547,0.031383,
-0.015938,0.004835,0.031383,
-0.016243,0.005075,0.031383,
-0.016481,0.005263,0.031383,
-0.016651,0.005399,0.031383,
-0.016753,0.005481,0.031383,
-0.016778,0.005551,0.031383,
