-0.022413,0.037407,0.153581,
-0.022066,0.036932,0.153581,
-0.021029,0.035519,0.153581,
-0.019326,0.033206,0.153581,
-0.017001,0.030047,0.153581,
-0.014127,0.026112,0.153581,
-0.010817,0.021471,0.153581,
-0.007213,0.016225,0.153581,
-0.003419,0.010513,0.153581,
0.000442,0.004483,0.153581,
0.004240,-0.001708,0.153581,
0.007860,-0.007886,0.153581,
0.011227,-0.013860,0.153581,
0.014266,-0.019450,0.153581,
0.016905,-0.024495,0.153581,
0.019083,-0.028853,0.153581,
0.020751,-0.032406,0.153581,
0.021897,-0.035048,0.153581,
0.022457,-0.036731,0.153581,
0.022420,-0.037403,0.153581,
0.021858,-0.037024,0.153581,
0.020777,-0.035624,0.153581,
0.019171,-0.033244,0.153581,
0.017027,-0.029969,0.153581,
0.014423,-0.025870,0.153581,
0.011429,-0.021050,0.153581,
0.008130,-0.015635,0.153581,
0.004621,-0.009770,0.153581,
0.001008,-0.003611,0.153581,
-0.002588,0.002678,0.153581,
-0.006084,0.008908,0.153581,
-0.009414,0.014884,0.153581,
-0.012514,0.020421,0.153581,
-0.015335,0.025347,0.153581,
-0.017793,0.029543,0.153581,
-0.019784,0.032916,0.153581,
-0.021243,0.035386,0.153581,
-0.022130,0.036892,0.153581,
-0.022413,0.037407,0.153581,
